,index,name,company,year,Price,kms_driven,fuel_type
218,314,Suzuki Dzire,Maruti,2014,424999.0,55000,Diesel
219,315,City,Honda,2015,644999.0,39000,Petrol
220,316,Mobilio,Honda,2014,399999.0,44000,Petrol
221,317,Corolla Altis,Toyota,2009,199999.0,65000,Petrol
222,318,City,Honda,2014,584999.0,39000,Petrol
223,319,Laura,Skoda,2012,349999.0,44000,Diesel
224,320,Duster,Renault,2015,449999.0,49000,Diesel
225,322,Suzuki Dzire,Maruti,2015,444999.0,45000,Diesel
226,323,XUV500,Mahindra,2014,649999.0,47000,Diesel
227,324,Verna Fluidic,Hyundai,2012,444999.0,40000,Diesel
228,325,Suzuki Vitara Brezza,Maruti,2016,689999.0,29000,Diesel
229,326,Suzuki Wagon R,Maruti,2016,344999.0,15000,Petrol
230,327,Scorpio,Mahindra,2015,944999.0,45000,Diesel
231,328,Amaze,Honda,2014,274999.0,35000,Petrol
232,329,XUV500,Mahindra,2013,689999.0,80000,Diesel
233,330,Scorpio,Mahindra,2013,574999.0,68000,Diesel
234,331,Laura,Skoda,2013,374999.0,50000,Diesel
235,332,Polo,Volkswagen,2010,199999.0,60000,Diesel
236,334,Manza Aura Quadrajet,Tata,2012,130000.0,72000,Diesel
237,335,Sail UVA Petrol LT ABS,Chevrolet,2013,210000.0,60000,Petrol
238,337,Verna Fluidic 1.6 VTVT SX,Hyundai,2013,401000.0,45000,Diesel
239,338,A4 2.0 TDI 177bhp Premium,Audi,2012,1350000.0,40000,Diesel
240,339,Elantra SX,Hyundai,2013,600000.0,20000,Petrol
241,340,Scorpio VLX 4WD Airbag,Mahindra,2013,610000.0,35000,Diesel
242,341,KUV100 K8 D 6 STR,Mahindra,2016,400000.0,20000,Diesel
243,348,i20,Hyundai,2014,449999.0,23000,Petrol
244,349,Eon,Hyundai,2014,174999.0,14000,Petrol
245,350,i10,Hyundai,2012,244999.0,38000,Petrol
246,351,i20 Active,Hyundai,2015,574999.0,35000,Diesel
247,352,Redi GO,Datsun,2017,244999.0,22000,Petrol
248,353,Etios Liva,Toyota,2011,239999.0,41000,Petrol
249,354,Accent,Hyundai,2010,99999.0,45000,Petrol
250,355,Verna,Hyundai,2014,489999.0,44000,Diesel
251,356,Suzuki Swift,Maruti,2013,324999.0,45000,Diesel
252,357,Fortuner,Toyota,2011,1074999.0,52000,Diesel
253,358,i10 Sportz,Hyundai,2012,230000.0,34000,Petrol
254,361,XUV500,Mahindra,2015,1000000.0,15000,Diesel
255,363,Spark LT 1.0 Airbag,Chevrolet,2009,110000.0,44000,Petrol
256,366,XUV500,Mahindra,2016,1130000.0,72000,Diesel
257,367,Indigo eCS VX CR4 BS IV,Tata,2014,250000.0,40000,Diesel
258,371,Rapid Elegance 1.6 TDI CR MT,Skoda,2013,340000.0,48000,Diesel
259,372,Vista Quadrajet VX,Tata,2011,120000.0,90000,Diesel
260,373,Suzuki Alto K10 VXi AT,Maruti,2015,265000.0,12000,Petrol
261,375,Suzuki Zen LXi BS III,Maruti,2003,85000.0,69900,Petrol
262,377,i10 Magna 1.2,Hyundai,2011,175000.0,45000,Petrol
263,379,Suzuki Swift Dzire Tour LDi,Maruti,2016,350000.0,166000,Diesel
264,380,City ZX EXi,Honda,2008,149000.0,42000,Petrol
265,383,Beat Diesel,Chevrolet,2017,150000.0,62000,Diesel
266,384,City 1.5 S MT,Honda,2010,225000.0,70000,Petrol
267,386,Verna 1.4 VTVT,Hyundai,2014,375000.0,36000,Petrol
268,389,Suzuki  800 Std – Befo,Maruti,1995,30000.0,55000,Petrol
269,392,Suzuki Swift,Maruti,2014,335000.0,55000,Diesel
270,393,Elite i20 Asta 1.4 CRDI,Hyundai,2015,450000.0,20000,Diesel
271,394,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2012,225000.0,40000,Petrol
272,396,Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,80000.0,50000,Petrol
273,397,Indigo LX TDI BS III,Tata,2016,130000.0,104000,Diesel
274,398,Vento Konekt Diesel Highline,Volkswagen,2011,245000.0,65000,Diesel
275,399,Benz C Class 200 CDI Classic,Mercedes,2002,399000.0,41000,Petrol
276,400,Suzuki Ertiga VDi,Maruti,2013,450000.0,90000,Diesel
277,402,City,Honda,2000,65000.0,80000,Petrol
278,403,Santro Xing GLS,Hyundai,2006,75000.0,46000,Petrol
279,404,Suzuki Omni Limited Edition,Maruti,2001,70000.0,70000,Petrol
280,405,Sonata Transform 2.4 GDi MT,Hyundai,2017,190000.0,36469,Diesel
281,408,Suzuki Alto 800 Lxi,Maruti,2017,240000.0,60000,Petrol
282,409,Suzuki Alto LXi BS III,Maruti,2011,155000.0,32000,Petrol
283,410,Jazz S MT,Honda,2009,169999.0,24695,Petrol
284,411,Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017,450000.0,15141,Petrol
285,412,Suzuki Zen LXi BSII,Maruti,2001,40000.0,40000,Petrol
286,413,Scorpio W Turbo 2.6DX 9 Seater,Mahindra,2012,165000.0,65000,Diesel
287,415,Suzuki Alto K10 VXi,Maruti,2014,270000.0,22000,Petrol
288,416,Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2016,280000.0,59910,Diesel
289,417,XUV500 W8,Mahindra,2012,560000.0,100000,Diesel
290,418,Creta 1.6 SX Plus Petrol,Hyundai,2016,950000.0,25000,Petrol
291,419,i20 Magna O 1.2,Hyundai,2013,310000.0,35000,Petrol
292,420,Duster 85 PS RxL Explore LE,Renault,2015,715000.0,65000,Diesel
293,421,Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014,340000.0,35000,Petrol
294,422,Brio V MT,Honda,2012,235000.0,33000,Petrol
295,423,TUV300 T4 Plus,Mahindra,2017,610000.0,68000,Diesel
296,424,Spark LS 1.0,Chevrolet,2010,95000.0,23000,Petrol
297,426,Suzuki Swift Dzire Tour LDi,Maruti,2015,220000.0,129000,Diesel
298,429,Ikon 1.3 CLXi NXt Finesse,Ford,2001,45000.0,65000,Petrol
299,430,Fortuner 3.0 4x4 MT,Toyota,2010,940000.0,131000,Diesel
300,431,Manza ELAN Quadrajet,Tata,2010,155555.0,111111,Petrol
301,434,Benz A Class A 180 Sport Petrol,Mercedes,2013,1500000.0,14000,Petrol
302,435,Beat LS Diesel,Chevrolet,2016,210000.0,22000,Diesel
303,436,EcoSport Trend 1.5L TDCi,Ford,2013,495000.0,38000,Diesel
304,437,Indigo LS,Tata,2016,125000.0,70000,Diesel
305,438,i20 Magna 1.2,Hyundai,2010,195000.0,36000,Petrol
306,439,Vento Highline Plus 1.5 Diesel AT,Volkswagen,2015,550000.0,34000,Diesel
307,440,Kwid RXT,Renault,2015,270000.0,43000,Petrol
308,442,EcoSport Titanium 1.5L TDCi,Ford,2014,500000.0,40000,Diesel
309,443,Amaze 1.5 E i DTEC,Honda,2016,240000.0,160000,Diesel
310,444,Verna 1.6 EX VTVT,Hyundai,2017,800000.0,12000,Petrol
311,445,5 Series 520d Sedan,BMW,2011,1299000.0,49000,Diesel
312,446,Superb 1.8 TFSI AT,Skoda,2011,530000.0,68000,Petrol
313,447,Q3 2.0 TDI quattro Premium,Audi,2013,1499000.0,37000,Diesel
314,448,Bolero DI BSII,Mahindra,2012,220000.0,59466,Diesel
315,451,Figo Duratorq Diesel Titanium 1.4,Ford,2012,250000.0,99000,Diesel
316,452,Suzuki Wagon R VXI BS IV,Maruti,2018,395000.0,25500,Petrol
317,453,Logan Diesel 1.5 DLS,Mahindra,2009,130000.0,66000,Petrol
318,454,Nano GenX XMA,Tata,2010,32000.0,44005,Petrol
319,455,TUV300 T4 Plus,Mahindra,2016,540000.0,35000,Diesel
320,457,Elite i20 Magna 1.2,Hyundai,2015,405000.0,28000,Petrol
321,458,Elite i20 Magna 1.2,Hyundai,2015,400000.0,30000,Petrol
322,460,Suzuki Baleno Delta 1.2,Maruti,2016,500000.0,28000,Petrol
323,461,Figo Petrol LXI,Ford,2011,175000.0,75000,Petrol
324,464,Elite i20 Magna 1.2,Hyundai,2015,419000.0,20000,Petrol
325,465,Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,90000.0,50000,Petrol
326,467,Pajero Sport Limited Edition,Mitsubishi,2015,1540000.0,43222,Petrol
327,468,i10 Magna 1.2 Kappa2,Hyundai,2008,275000.0,100200,Petrol
328,469,Corolla H2,Toyota,2003,150000.0,100000,Petrol
329,471,Indigo CS eLS BS IV,Tata,2015,123000.0,100000,Diesel
330,474,Xcent Base 1.1 CRDi,Hyundai,2016,300000.0,140000,Diesel
331,476,Accent Executive Edition,Hyundai,2009,165000.0,48000,Petrol
332,477,Suzuki Baleno Delta 1.2,Maruti,2016,498000.0,22000,Petrol
333,478,Zest XE 75 PS Diesel,Tata,2018,480000.0,103553,Diesel
334,479,Suzuki Dzire LDI,Maruti,2017,488000.0,80000,Diesel
335,480,Sumo Gold LX BS IV,Tata,2014,250000.0,99000,Diesel
336,481,Corolla Altis GL Petrol,Toyota,2010,220000.0,58000,Petrol
337,482,Suzuki Eeco 7 STR,Maruti,2013,290000.0,70000,LPG
338,483,Fortuner 3.0 4x2 MT,Toyota,2015,1525000.0,120000,Diesel
339,484,XUV500 W6,Mahindra,2013,548900.0,49800,Diesel
340,486,Suzuki 800,Maruti,2001,55000.0,81876,Petrol
341,487,Suzuki Ertiga Vxi,Maruti,2015,550000.0,75000,Petrol
342,489,Mobilio S i DTEC,Honda,2014,399000.0,44000,Diesel
343,490,Suzuki Ertiga,Maruti,2016,730000.0,55000,Diesel
344,491,Suzuki Vitara Brezza,Maruti,2017,725000.0,36000,Diesel
345,492,Verna 1.6 CRDI E,Hyundai,2016,195000.0,56000,Diesel
346,493,Suzuki Swift VXI BSIII,Maruti,2007,130000.0,62000,Petrol
347,496,Amaze,Honda,2013,250000.0,55700,Diesel
348,497,Indica,Tata,2005,80000.0,42000,Petrol
349,498,Santro Xing,Hyundai,2003,120000.0,50000,Petrol
350,499,Suzuki Zen Estilo,Maruti,2010,149000.0,35000,Petrol
351,500,Suzuki Wagon R LXI BS IV,Maruti,2014,250000.0,18500,Petrol
352,502,Brio VX AT,Honda,2017,450000.0,11000,Petrol
353,504,Suzuki Zen LXi BSII,Maruti,2003,99999.0,53000,Petrol
354,505,Suzuki Zen Estilo LXI Green CNG,Maruti,2008,135000.0,23000,Petrol
355,506,Suzuki Wagon R Select Variant,Maruti,2016,225000.0,35500,Diesel
356,507,Suzuki Alto LXi BS III,Maruti,2010,99000.0,22134,Petrol
357,512,Eon Magna Plus,Hyundai,2014,190000.0,35000,Petrol
358,513,City 1.5 S MT,Honda,2014,499000.0,22000,Petrol
359,514,Motors Ambassador,Hindustan,2002,90000.0,25000,Diesel
360,515,Suzuki Ritz GENUS VXI,Maruti,2010,149000.0,40000,Petrol
361,516,Grand i10 Magna AT 1.2 Kappa VTVT,Hyundai,2017,400000.0,20000,Petrol
362,517,Eon D Lite Plus,Hyundai,2016,120000.0,87000,Petrol
363,518,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2015,250000.0,55000,Petrol
364,519,Suzuki Wagon R VXI BS IV,Maruti,2017,375000.0,23000,Petrol
365,521,Suzuki Estilo VXi ABS BS IV,Maruti,2013,180000.0,65000,Petrol
366,522,Suzuki Vitara Brezza LDi O,Maruti,2016,580000.0,25000,Diesel
367,523,Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,278000.0,39000,Petrol
